Sample in Buffer,Sample in Window,TRIGGER,count[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
586,586,0,4015631458
587,587,0,4015631459
588,588,0,4015631460
589,589,0,4015631461
590,590,0,4015631462
591,591,0,4015631463
592,592,0,4015631464
593,593,0,4015631465
594,594,0,4015631466
595,595,0,4015631467
596,596,0,4015631468
597,597,0,4015631469
598,598,0,4015631470
599,599,0,4015631471
600,600,0,4015631472
601,601,0,4015631473
602,602,0,4015631474
603,603,0,4015631475
604,604,0,4015631476
605,605,0,4015631477
606,606,0,4015631478
607,607,0,4015631479
608,608,0,4015631480
609,609,0,4015631481
610,610,0,4015631482
611,611,0,4015631483
612,612,0,4015631484
613,613,0,4015631485
614,614,0,4015631486
615,615,0,4015631487
616,616,0,4015631488
617,617,0,4015631489
618,618,0,4015631490
619,619,0,4015631491
620,620,0,4015631492
621,621,0,4015631493
622,622,0,4015631494
623,623,0,4015631495
624,624,0,4015631496
625,625,0,4015631497
626,626,0,4015631498
627,627,0,4015631499
628,628,0,4015631500
629,629,0,4015631501
630,630,0,4015631502
631,631,0,4015631503
632,632,0,4015631504
633,633,0,4015631505
634,634,0,4015631506
635,635,0,4015631507
636,636,0,4015631508
637,637,0,4015631509
638,638,0,4015631510
639,639,0,4015631511
640,640,0,4015631512
641,641,0,4015631513
642,642,0,4015631514
643,643,0,4015631515
644,644,0,4015631516
645,645,0,4015631517
646,646,0,4015631518
647,647,0,4015631519
648,648,0,4015631520
649,649,0,4015631521
650,650,0,4015631522
651,651,0,4015631523
652,652,0,4015631524
653,653,0,4015631525
654,654,0,4015631526
655,655,0,4015631527
656,656,0,4015631528
657,657,0,4015631529
658,658,0,4015631530
659,659,0,4015631531
660,660,0,4015631532
661,661,0,4015631533
662,662,0,4015631534
663,663,0,4015631535
664,664,0,4015631536
665,665,0,4015631537
666,666,0,4015631538
667,667,0,4015631539
668,668,0,4015631540
669,669,0,4015631541
670,670,0,4015631542
671,671,0,4015631543
672,672,0,4015631544
673,673,0,4015631545
674,674,0,4015631546
675,675,0,4015631547
676,676,0,4015631548
677,677,0,4015631549
678,678,0,4015631550
679,679,0,4015631551
680,680,0,4015631552
681,681,0,4015631553
682,682,0,4015631554
683,683,0,4015631555
684,684,0,4015631556
685,685,0,4015631557
686,686,0,4015631558
687,687,0,4015631559
688,688,0,4015631560
689,689,0,4015631561
690,690,0,4015631562
691,691,0,4015631563
692,692,0,4015631564
693,693,0,4015631565
694,694,0,4015631566
695,695,0,4015631567
696,696,0,4015631568
697,697,0,4015631569
698,698,0,4015631570
699,699,0,4015631571
700,700,0,4015631572
701,701,0,4015631573
702,702,0,4015631574
703,703,0,4015631575
704,704,0,4015631576
705,705,0,4015631577
706,706,0,4015631578
707,707,0,4015631579
708,708,0,4015631580
709,709,0,4015631581
710,710,0,4015631582
711,711,0,4015631583
712,712,0,4015631584
713,713,0,4015631585
714,714,0,4015631586
715,715,0,4015631587
716,716,0,4015631588
717,717,0,4015631589
718,718,0,4015631590
719,719,0,4015631591
720,720,0,4015631592
721,721,0,4015631593
722,722,0,4015631594
723,723,0,4015631595
724,724,0,4015631596
725,725,0,4015631597
726,726,0,4015631598
727,727,0,4015631599
728,728,0,4015631600
729,729,0,4015631601
730,730,0,4015631602
731,731,0,4015631603
732,732,0,4015631604
733,733,0,4015631605
734,734,0,4015631606
735,735,0,4015631607
736,736,0,4015631608
737,737,0,4015631609
738,738,0,4015631610
739,739,0,4015631611
740,740,0,4015631612
741,741,0,4015631613
742,742,0,4015631614
743,743,0,4015631615
744,744,0,4015631616
745,745,0,4015631617
746,746,0,4015631618
747,747,0,4015631619
748,748,0,4015631620
749,749,0,4015631621
750,750,0,4015631622
751,751,0,4015631623
752,752,0,4015631624
753,753,0,4015631625
754,754,0,4015631626
755,755,0,4015631627
756,756,0,4015631628
757,757,0,4015631629
758,758,0,4015631630
759,759,0,4015631631
760,760,0,4015631632
761,761,0,4015631633
762,762,0,4015631634
763,763,0,4015631635
764,764,0,4015631636
765,765,0,4015631637
766,766,0,4015631638
767,767,0,4015631639
768,768,0,4015631640
769,769,0,4015631641
770,770,0,4015631642
771,771,0,4015631643
772,772,0,4015631644
773,773,0,4015631645
774,774,0,4015631646
775,775,0,4015631647
776,776,0,4015631648
777,777,0,4015631649
778,778,0,4015631650
779,779,0,4015631651
780,780,0,4015631652
781,781,0,4015631653
782,782,0,4015631654
783,783,0,4015631655
784,784,0,4015631656
785,785,0,4015631657
786,786,0,4015631658
787,787,0,4015631659
788,788,0,4015631660
789,789,0,4015631661
790,790,0,4015631662
791,791,0,4015631663
792,792,0,4015631664
793,793,0,4015631665
794,794,0,4015631666
795,795,0,4015631667
796,796,0,4015631668
797,797,0,4015631669
798,798,0,4015631670
799,799,0,4015631671
800,800,0,4015631672
801,801,0,4015631673
802,802,0,4015631674
803,803,0,4015631675
804,804,0,4015631676
805,805,0,4015631677
806,806,0,4015631678
807,807,0,4015631679
808,808,0,4015631680
809,809,0,4015631681
810,810,0,4015631682
811,811,0,4015631683
812,812,0,4015631684
813,813,0,4015631685
814,814,0,4015631686
815,815,0,4015631687
816,816,0,4015631688
817,817,0,4015631689
818,818,0,4015631690
819,819,0,4015631691
820,820,0,4015631692
821,821,0,4015631693
822,822,0,4015631694
823,823,0,4015631695
824,824,0,4015631696
825,825,0,4015631697
826,826,0,4015631698
827,827,0,4015631699
828,828,0,4015631700
829,829,0,4015631701
830,830,0,4015631702
831,831,0,4015631703
832,832,0,4015631704
833,833,0,4015631705
834,834,0,4015631706
835,835,0,4015631707
836,836,0,4015631708
837,837,0,4015631709
838,838,0,4015631710
839,839,0,4015631711
840,840,0,4015631712
841,841,0,4015631713
842,842,0,4015631714
843,843,0,4015631715
844,844,0,4015631716
845,845,0,4015631717
846,846,0,4015631718
847,847,0,4015631719
848,848,0,4015631720
849,849,0,4015631721
850,850,0,4015631722
851,851,0,4015631723
852,852,0,4015631724
853,853,0,4015631725
854,854,0,4015631726
855,855,0,4015631727
856,856,0,4015631728
857,857,0,4015631729
858,858,0,4015631730
859,859,0,4015631731
860,860,0,4015631732
861,861,0,4015631733
862,862,0,4015631734
863,863,0,4015631735
864,864,0,4015631736
865,865,0,4015631737
866,866,0,4015631738
867,867,0,4015631739
868,868,0,4015631740
869,869,0,4015631741
870,870,0,4015631742
871,871,0,4015631743
872,872,0,4015631744
873,873,0,4015631745
874,874,0,4015631746
875,875,0,4015631747
876,876,0,4015631748
877,877,0,4015631749
878,878,0,4015631750
879,879,0,4015631751
880,880,0,4015631752
881,881,0,4015631753
882,882,0,4015631754
883,883,0,4015631755
884,884,0,4015631756
885,885,0,4015631757
886,886,0,4015631758
887,887,0,4015631759
888,888,0,4015631760
889,889,0,4015631761
890,890,0,4015631762
891,891,0,4015631763
892,892,0,4015631764
893,893,0,4015631765
894,894,0,4015631766
895,895,0,4015631767
896,896,0,4015631768
897,897,0,4015631769
898,898,0,4015631770
899,899,0,4015631771
900,900,0,4015631772
901,901,0,4015631773
902,902,0,4015631774
903,903,0,4015631775
904,904,0,4015631776
905,905,0,4015631777
906,906,0,4015631778
907,907,0,4015631779
908,908,0,4015631780
909,909,0,4015631781
910,910,0,4015631782
911,911,0,4015631783
912,912,0,4015631784
913,913,0,4015631785
914,914,0,4015631786
915,915,0,4015631787
916,916,0,4015631788
917,917,0,4015631789
918,918,0,4015631790
919,919,0,4015631791
920,920,0,4015631792
921,921,0,4015631793
922,922,0,4015631794
923,923,0,4015631795
924,924,0,4015631796
925,925,0,4015631797
926,926,0,4015631798
927,927,0,4015631799
928,928,0,4015631800
929,929,0,4015631801
930,930,0,4015631802
931,931,0,4015631803
932,932,0,4015631804
933,933,0,4015631805
934,934,0,4015631806
935,935,0,4015631807
936,936,0,4015631808
937,937,0,4015631809
938,938,0,4015631810
939,939,0,4015631811
940,940,0,4015631812
941,941,0,4015631813
942,942,0,4015631814
943,943,0,4015631815
944,944,0,4015631816
945,945,0,4015631817
946,946,0,4015631818
947,947,0,4015631819
948,948,0,4015631820
949,949,0,4015631821
950,950,0,4015631822
951,951,0,4015631823
952,952,0,4015631824
953,953,0,4015631825
954,954,0,4015631826
955,955,0,4015631827
956,956,0,4015631828
957,957,0,4015631829
958,958,0,4015631830
959,959,0,4015631831
960,960,0,4015631832
961,961,0,4015631833
962,962,0,4015631834
963,963,0,4015631835
964,964,0,4015631836
965,965,0,4015631837
966,966,0,4015631838
967,967,0,4015631839
968,968,0,4015631840
969,969,0,4015631841
970,970,0,4015631842
971,971,0,4015631843
972,972,0,4015631844
973,973,0,4015631845
974,974,0,4015631846
975,975,0,4015631847
976,976,0,4015631848
977,977,0,4015631849
978,978,0,4015631850
979,979,0,4015631851
980,980,0,4015631852
981,981,0,4015631853
982,982,0,4015631854
983,983,0,4015631855
984,984,0,4015631856
985,985,0,4015631857
986,986,0,4015631858
987,987,0,4015631859
988,988,0,4015631860
989,989,0,4015631861
990,990,0,4015631862
991,991,0,4015631863
992,992,0,4015631864
993,993,0,4015631865
994,994,0,4015631866
995,995,0,4015631867
996,996,0,4015631868
997,997,0,4015631869
998,998,0,4015631870
999,999,0,4015631871
1000,1000,0,4015631872
1001,1001,0,4015631873
1002,1002,0,4015631874
1003,1003,0,4015631875
1004,1004,0,4015631876
1005,1005,0,4015631877
1006,1006,0,4015631878
1007,1007,0,4015631879
1008,1008,0,4015631880
1009,1009,0,4015631881
1010,1010,0,4015631882
1011,1011,0,4015631883
1012,1012,0,4015631884
1013,1013,0,4015631885
1014,1014,0,4015631886
1015,1015,0,4015631887
1016,1016,0,4015631888
1017,1017,0,4015631889
1018,1018,0,4015631890
1019,1019,0,4015631891
1020,1020,0,4015631892
1021,1021,0,4015631893
1022,1022,0,4015631894
1023,1023,0,4015631895
1024,1024,0,4015631896
1025,1025,0,4015631897
1026,1026,0,4015631898
1027,1027,0,4015631899
1028,1028,0,4015631900
1029,1029,0,4015631901
1030,1030,0,4015631902
1031,1031,0,4015631903
1032,1032,0,4015631904
1033,1033,0,4015631905
1034,1034,0,4015631906
1035,1035,0,4015631907
1036,1036,0,4015631908
1037,1037,0,4015631909
1038,1038,0,4015631910
1039,1039,0,4015631911
1040,1040,0,4015631912
1041,1041,0,4015631913
1042,1042,0,4015631914
1043,1043,0,4015631915
1044,1044,0,4015631916
1045,1045,0,4015631917
1046,1046,0,4015631918
1047,1047,0,4015631919
1048,1048,0,4015631920
1049,1049,0,4015631921
1050,1050,0,4015631922
1051,1051,0,4015631923
1052,1052,0,4015631924
1053,1053,0,4015631925
1054,1054,0,4015631926
1055,1055,0,4015631927
1056,1056,0,4015631928
1057,1057,0,4015631929
1058,1058,0,4015631930
1059,1059,0,4015631931
1060,1060,0,4015631932
1061,1061,0,4015631933
1062,1062,0,4015631934
1063,1063,0,4015631935
1064,1064,0,4015631936
1065,1065,0,4015631937
1066,1066,0,4015631938
1067,1067,0,4015631939
1068,1068,0,4015631940
1069,1069,0,4015631941
1070,1070,0,4015631942
1071,1071,0,4015631943
1072,1072,0,4015631944
1073,1073,0,4015631945
1074,1074,0,4015631946
1075,1075,0,4015631947
1076,1076,0,4015631948
1077,1077,0,4015631949
1078,1078,0,4015631950
1079,1079,0,4015631951
1080,1080,0,4015631952
1081,1081,0,4015631953
1082,1082,0,4015631954
1083,1083,0,4015631955
1084,1084,0,4015631956
1085,1085,0,4015631957
1086,1086,0,4015631958
1087,1087,0,4015631959
1088,1088,0,4015631960
1089,1089,0,4015631961
1090,1090,0,4015631962
1091,1091,0,4015631963
1092,1092,0,4015631964
1093,1093,0,4015631965
1094,1094,0,4015631966
1095,1095,0,4015631967
1096,1096,0,4015631968
1097,1097,0,4015631969
1098,1098,0,4015631970
1099,1099,0,4015631971
1100,1100,0,4015631972
1101,1101,0,4015631973
1102,1102,0,4015631974
1103,1103,0,4015631975
1104,1104,0,4015631976
1105,1105,0,4015631977
1106,1106,0,4015631978
1107,1107,0,4015631979
1108,1108,0,4015631980
1109,1109,0,4015631981
1110,1110,0,4015631982
1111,1111,0,4015631983
1112,1112,0,4015631984
1113,1113,0,4015631985
1114,1114,0,4015631986
1115,1115,0,4015631987
1116,1116,0,4015631988
1117,1117,0,4015631989
1118,1118,0,4015631990
1119,1119,0,4015631991
1120,1120,0,4015631992
1121,1121,0,4015631993
1122,1122,0,4015631994
1123,1123,0,4015631995
1124,1124,0,4015631996
1125,1125,0,4015631997
1126,1126,0,4015631998
1127,1127,0,4015631999
1128,1128,0,4015632000
1129,1129,0,4015632001
1130,1130,0,4015632002
1131,1131,0,4015632003
1132,1132,0,4015632004
1133,1133,0,4015632005
1134,1134,0,4015632006
1135,1135,0,4015632007
1136,1136,0,4015632008
1137,1137,0,4015632009
1138,1138,0,4015632010
1139,1139,0,4015632011
1140,1140,0,4015632012
1141,1141,0,4015632013
1142,1142,0,4015632014
1143,1143,0,4015632015
1144,1144,0,4015632016
1145,1145,0,4015632017
1146,1146,0,4015632018
1147,1147,0,4015632019
1148,1148,0,4015632020
1149,1149,0,4015632021
1150,1150,0,4015632022
1151,1151,0,4015632023
1152,1152,0,4015632024
1153,1153,0,4015632025
1154,1154,0,4015632026
1155,1155,0,4015632027
1156,1156,0,4015632028
1157,1157,0,4015632029
1158,1158,0,4015632030
1159,1159,0,4015632031
1160,1160,0,4015632032
1161,1161,0,4015632033
1162,1162,0,4015632034
1163,1163,0,4015632035
1164,1164,0,4015632036
1165,1165,0,4015632037
1166,1166,0,4015632038
1167,1167,0,4015632039
1168,1168,0,4015632040
1169,1169,0,4015632041
1170,1170,0,4015632042
1171,1171,0,4015632043
1172,1172,0,4015632044
1173,1173,0,4015632045
1174,1174,0,4015632046
1175,1175,0,4015632047
1176,1176,0,4015632048
1177,1177,0,4015632049
1178,1178,0,4015632050
1179,1179,0,4015632051
1180,1180,0,4015632052
1181,1181,0,4015632053
1182,1182,0,4015632054
1183,1183,0,4015632055
1184,1184,0,4015632056
1185,1185,0,4015632057
1186,1186,0,4015632058
1187,1187,0,4015632059
1188,1188,0,4015632060
1189,1189,0,4015632061
1190,1190,0,4015632062
1191,1191,0,4015632063
1192,1192,0,4015632064
1193,1193,0,4015632065
1194,1194,0,4015632066
1195,1195,0,4015632067
1196,1196,0,4015632068
